name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,377,1,1,44,259,9,443,1,320,9,742039,10,90,1,14,0,0,0,61,0,32,0,17,7,5,0,3,45253,0
Aaron_Lennon,463,0,0,38,369,5,153,1,319,9,516181,7,90,2,19,0,0,0,69,0,32,2,20,7,6,2,1,355803,3
Aaron_Mooy,337,2,2,53,223,7,172,1,317,10,553038,4,90,1,13,0,0,0,60,0,32,2,15,15,2,0,1,38127,4
Aaron_Ramsdale,424,2,1,49,334,9,549,0,318,6,532300,10,0,4,18,0,0,0,60,0,32,3,18,11,4,2,2,75128,0
Aaron_Ramsey,647,2,2,23,548,10,18,0,311,9,586284,16,90,3,15,0,0,0,64,0,32,2,11,6,8,0,3,657818,1
Aaron_Wan-Bissaka,307,3,3,42,193,16,579,1,314,6,661948,3,87,1,10,0,0,0,87,0,32,4,16,14,3,2,1,103115,2
Abdoulaye_Doucouré,420,0,0,26,317,9,414,1,318,16,721310,7,90,3,2,1,0,0,68,0,32,4,20,9,4,2,2,72993,4
Adam_Lallana,661,2,0,33,551,9,228,1,314,8,535344,14,5,1,6,1,0,0,77,0,32,2,24,8,4,2,1,333682,2
Ademola_Lookman,200,2,2,41,133,4,157,0,315,10,588389,5,0,2,11,0,0,0,38,0,32,1,6,9,4,3,1,118581,0
Adrien Sebastian_Perruchet Silva,448,1,0,47,340,7,589,1,312,13,482949,5,0,1,3,1,0,1,61,1,32,3,11,7,2,2,0,500044,4
Ahmed El-Sayed_Hegazi,414,0,1,33,300,5,468,0,319,12,577206,6,90,2,4,0,0,0,65,0,32,2,9,8,3,2,1,42081,1
Aleksandar_Kolarov,975,2,0,16,903,9,243,0,315,8,502099,16,0,3,7,0,0,0,50,0,32,1,13,3,8,3,1,531466,0
Aleksandar_Mitrovic,586,3,3,42,467,4,303,0,317,9,592554,12,0,3,8,0,0,0,76,0,32,0,22,6,9,0,1,177521,1
Alexis_Sánchez,744,3,3,28,675,9,14,0,316,5,500315,10,74,5,16,0,0,0,54,0,32,2,14,12,4,0,2,816046,0
Alex_McCarthy,402,0,0,39,292,11,305,0,320,16,484763,9,90,0,20,0,0,0,60,0,32,2,19,11,5,0,3,36606,3
Alfie_Mawson,364,0,0,40,288,3,357,0,316,13,575826,2,90,1,12,0,0,0,48,0,32,3,15,7,0,0,2,111537,0
Alfie_Whiteman,527,1,0,52,434,10,566,0,313,11,504836,8,0,3,5,0,0,0,74,0,32,3,27,15,3,3,1,260488,1
Andreas_Christensen,494,1,0,38,384,11,470,0,313,4,589764,10,90,4,17,0,0,0,72,0,32,3,20,17,7,3,1,248474,0
Anthony_Knockaert,379,2,3,30,275,11,62,0,312,11,533567,11,0,6,9,0,1,0,71,0,32,2,14,4,7,2,0,246448,2
Bojan_Krkic Perez,273,0,0,36,178,6,344,1,311,13,630506,7,0,3,1,2,0,0,55,0,32,8,16,3,4,0,3,25984,
