name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
Aaron_Lennon,472,1,0,47,349,3,0,201,13,4,90,5,1,2,0,0,0,64,0,21,5,8,11,3,1,0,0,1
Aaron_Mooy,381,0,0,50,278,10,0,204,14,2,90,0,2,4,0,0,0,61,0,21,4,16,7,2,0,1,2,1
Aaron_Ramsdale,407,2,1,42,285,14,0,201,8,18,0,0,9,7,0,0,0,67,0,21,0,14,5,8,2,1,0,7
Aaron_Ramsey,648,0,0,39,544,8,1,210,9,10,0,2,1,19,1,0,0,67,0,21,2,14,10,5,1,0,3,5
Aaron_Wan-Bissaka,208,1,3,49,124,17,1,203,14,6,0,4,1,11,0,1,0,60,0,21,5,14,4,4,0,1,5,1
Abdoulaye_Doucouré,503,1,1,27,413,8,0,209,14,7,90,3,3,16,0,0,0,65,0,21,2,17,16,4,1,1,4,4
Adam_Lallana,568,5,3,37,457,10,0,205,7,14,0,5,1,9,0,0,0,68,0,21,0,16,9,6,2,1,3,6
Adam_Legzdins,294,2,2,33,179,7,0,204,14,9,0,3,3,8,0,0,0,63,0,21,1,14,9,5,0,0,1,4
Ahmed El-Sayed_Hegazi,324,0,0,48,245,7,1,210,14,8,90,1,6,1,0,0,0,65,0,21,4,12,5,4,1,1,3,3
Ahmed_Musa,376,1,0,44,263,9,1,205,3,6,0,3,0,10,0,0,0,72,0,21,4,14,5,1,1,0,2,1
Aleksandar_Kolarov,628,0,1,37,549,14,0,203,11,8,0,2,1,6,1,0,1,54,0,21,1,19,9,4,0,0,4,5
Aleksandar_Mitrovic,411,1,1,31,291,13,0,207,11,7,0,1,3,3,0,0,0,70,0,21,3,13,6,5,0,1,2,2
Alex_McCarthy,421,1,1,44,328,10,0,206,13,5,90,2,1,12,0,0,0,68,0,21,3,12,9,4,0,0,4,3
Alfie_Mawson,485,1,0,22,400,9,0,209,13,6,90,2,2,18,0,0,0,58,0,21,3,21,9,4,2,0,2,4
Ander_Herrera,500,3,3,36,427,12,1,206,12,13,0,1,7,14,0,0,0,64,0,21,3,19,12,5,0,1,2,3
Andreas_Christensen,655,3,2,14,592,10,0,202,5,16,0,3,5,15,0,0,0,64,0,21,1,27,4,7,5,1,1,12
Anthony_Knockaert,505,1,1,52,395,10,0,207,10,4,90,2,1,13,0,0,0,80,0,21,2,11,11,5,0,0,2,3
Bojan_Krkic Perez,473,1,1,35,394,10,0,202,10,1,0,2,0,5,1,0,0,49,0,21,7,9,16,0,0,0,1,1
