name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,368,3,1,66,294,19,1,178,13,11,90,1,1,15,0,0,0,58,0,18,0,26,6,6,3,0,0,1,4
Aaron_Lennon,447,0,0,32,351,11,0,175,12,9,78,1,1,16,0,1,0,56,0,18,2,12,11,3,1,3,1,2,4
Aaron_Mooy,308,4,2,37,224,7,0,179,17,10,90,3,3,18,0,0,0,61,1,18,2,19,11,4,4,1,0,1,3
Aaron_Ramsdale,513,1,1,25,416,6,1,172,5,6,0,2,0,10,0,0,0,62,0,18,3,12,3,2,4,0,1,1,2
Aaron_Ramsey,760,2,2,40,649,19,1,171,13,18,0,1,0,13,0,0,0,66,0,18,2,22,2,11,0,1,1,2,4
Aaron_Wan-Bissaka,369,4,2,56,276,23,0,176,13,11,0,0,4,9,0,0,0,64,0,18,2,16,17,3,3,0,0,2,3
Abdoulaye_Doucouré,450,0,0,30,354,11,0,179,12,10,90,3,1,8,1,0,0,57,1,18,3,22,7,6,4,1,1,2,2
Adam_Lallana,655,4,2,39,576,7,0,172,10,17,19,4,5,2,0,0,0,73,0,18,2,9,4,12,4,0,0,1,3
Adam_Legzdins,358,1,1,39,239,11,0,173,13,8,0,2,3,3,1,0,0,66,0,18,1,11,9,0,0,0,0,2,6
Ahmed El-Sayed_Hegazi,433,0,0,37,341,9,0,180,14,11,90,1,6,12,0,0,0,59,0,18,1,12,8,3,2,1,1,1,4
Ahmed_Musa,450,0,0,26,355,24,0,176,12,7,0,0,3,6,0,0,0,62,1,18,3,30,13,5,3,0,1,2,2
Aleksandar_Kolarov,453,3,4,19,368,16,1,177,13,14,0,4,2,17,0,1,0,59,0,18,1,13,9,7,1,4,1,2,7
Aleksandar_Mitrovic,301,0,0,60,201,8,1,171,9,8,0,2,2,1,0,0,0,64,0,18,4,16,9,4,0,1,0,1,2
Alex_McCarthy,477,1,1,42,384,7,1,174,16,4,0,2,2,5,0,0,0,62,0,18,7,13,12,2,0,1,0,3,2
Alfie_Mawson,431,1,0,32,335,8,0,175,12,5,90,0,1,7,2,0,1,60,0,18,4,18,8,4,1,3,0,3,2
Alfie_Whiteman,413,0,0,33,330,14,0,177,20,4,0,2,1,11,1,0,0,51,0,18,7,18,7,4,1,4,0,4,1
Ander_Herrera,586,0,0,37,481,10,1,180,7,7,90,1,2,19,0,0,0,62,0,18,4,16,6,2,2,1,0,3,1
Andreas_Christensen,549,0,0,24,467,28,0,174,8,21,90,3,4,14,0,0,0,57,0,18,2,21,8,8,0,1,1,1,7
Anthony_Knockaert,474,1,2,51,375,8,0,173,13,8,82,2,2,4,0,1,0,82,0,18,6,11,6,6,0,0,1,4,1
Bojan_Krkic Perez,419,1,1,25,329,7,1,178,12,15,0,0,5,20,1,0,0,53,0,18,4,8,19,8,3,0,1,2,0
