name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,497,0,0,34,413,14,0,110,11,7,90,4,3,14,0,0,0,61,0,11,3,18,11,6,1,1,4,3
Aaron_Lennon,460,0,0,41,376,4,0,104,16,1,31,1,1,4,0,0,0,52,0,11,4,28,16,1,0,0,3,0
Aaron_Ramsey,431,0,0,49,303,5,1,101,11,12,26,7,2,17,1,0,0,70,0,11,2,15,16,9,1,1,1,3
Abdoulaye_Doucouré,376,1,1,38,262,15,0,107,10,7,0,2,4,9,0,0,0,79,0,11,11,19,3,2,1,0,2,8
Abdul Rahman_Baba,686,0,0,24,616,18,0,104,5,18,0,2,5,6,0,0,0,61,0,11,0,23,12,5,5,1,0,9
Abel_Hernández,319,1,1,59,228,5,0,105,13,5,8,1,2,13,1,0,0,48,0,11,6,7,7,4,2,1,0,2
Adama_Traoré,264,0,0,60,180,16,1,108,15,4,90,2,2,10,0,0,0,48,0,11,6,16,7,1,1,0,3,3
Adam_Federici,534,3,2,31,463,16,0,102,14,18,0,1,4,15,1,0,0,63,0,11,2,19,7,10,1,1,3,7
Adam_Lallana,563,3,0,25,447,6,0,107,14,23,70,1,9,18,0,0,0,91,0,11,7,9,9,9,6,1,1,17
Adam_Matthews,232,0,0,51,164,9,0,102,17,8,0,2,3,2,0,0,0,54,1,11,6,15,13,0,2,0,2,4
Ahmed_Musa,520,1,0,40,381,14,0,106,8,4,66,4,3,19,0,0,0,55,0,11,3,17,9,3,1,1,0,3
Aiden_O'Neill,324,1,0,55,212,4,0,103,11,9,0,3,5,5,1,0,0,58,0,11,3,9,17,6,3,1,1,6
Aleix_García Serrano,631,2,2,31,552,17,0,108,7,20,5,5,4,12,0,0,0,59,0,11,2,17,9,11,1,1,1,7
Alex_McCarthy,631,0,0,16,538,8,0,105,15,15,0,1,6,7,0,0,0,51,0,11,0,13,5,5,1,0,5,7
Alex_Pritchard,520,0,0,49,390,12,0,101,17,7,0,1,4,1,0,0,0,55,0,11,2,23,9,7,1,0,2,3
Alfie_Mawson,449,1,0,25,366,9,0,109,9,3,90,0,2,11,0,0,0,53,0,11,0,18,10,2,1,1,0,1
Allan-Roméo_Nyom,357,0,0,53,245,10,0,106,8,8,90,0,3,8,0,0,0,57,0,11,2,14,9,3,2,0,2,5
Ander_Herrera,762,1,0,56,695,13,0,109,16,7,0,1,2,16,0,0,0,64,0,11,0,16,12,5,3,0,2,3
Andros_Townsend,505,2,1,27,395,17,0,103,12,11,90,3,11,3,0,0,0,68,0,11,3,22,6,7,2,0,2,5
Bojan_Krkic,363,1,0,32,270,3,0,110,10,6,20,1,2,20,0,0,0,58,0,11,2,15,13,7,1,0,1,4
