name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,401,1,1,31,311,11,0,200,9,7,90,0,4,11,0,0,0,60,1,20,4,17,6,5,2,0,1,2,null
Aaron_Lennon,482,1,0,44,362,12,0,193,5,13,60,4,1,13,0,0,0,58,0,20,3,23,9,5,0,3,1,0,2
Aaron_Ramsey,571,1,0,26,470,8,1,191,12,13,90,3,3,2,1,0,0,69,0,20,3,12,11,5,3,3,0,3,3
Aaron_Wan-Bissaka,403,0,0,49,308,3,0,192,13,2,0,1,4,16,0,0,0,45,0,20,2,12,14,2,2,1,1,2,1
Abdoulaye_Doucouré,350,0,0,46,237,6,1,196,15,7,90,0,3,14,0,0,0,55,0,20,3,8,7,4,0,2,0,2,2
Abdul Rahman_Baba,523,2,2,39,427,10,2,198,8,8,0,4,2,17,0,0,0,69,0,20,0,24,10,6,0,2,0,2,1
Abel_Hernández,532,1,0,43,447,11,0,199,4,14,0,0,5,19,0,0,0,62,0,20,2,16,11,9,1,3,0,0,2
Adama_Traoré,534,0,1,37,436,16,0,195,10,6,79,0,7,8,0,0,0,80,0,20,4,22,10,5,0,0,1,3,5
Adam_Federici,377,1,0,62,276,15,0,191,10,8,0,2,1,1,0,0,0,70,1,20,1,17,4,4,3,3,1,3,1
Adam_Lallana,695,2,2,41,603,13,0,197,10,19,90,3,4,15,2,0,0,78,0,20,3,22,6,3,2,2,0,3,3
Adam_Matthews,291,0,0,48,200,6,0,197,10,5,0,3,0,9,0,0,0,75,0,20,13,10,12,0,2,2,1,2,13
Ahmed_Musa,330,0,0,52,220,4,1,195,9,8,20,0,2,12,0,0,0,69,0,20,1,17,16,4,0,0,0,0,3
Aiden_O'Neill,357,0,0,38,247,7,0,194,11,6,0,3,5,10,0,0,0,48,0,20,1,9,5,6,1,2,0,3,4
Aleix_García Serrano,450,0,0,57,359,9,0,194,11,11,0,3,2,3,0,0,0,54,1,20,1,19,4,4,1,2,1,4,1
Alex_McCarthy,404,1,1,62,298,8,1,193,14,8,0,2,2,6,1,0,0,69,0,20,3,23,11,6,0,3,0,1,1
Alex_Palmer,347,1,0,53,269,10,0,199,5,7,0,0,5,7,0,0,0,53,0,20,5,14,11,0,1,3,1,0,3
Alex_Pritchard,440,2,0,38,334,11,0,198,9,5,0,2,3,4,0,0,0,57,0,20,2,18,18,6,0,2,1,3,2
Alfie_Mawson,480,2,2,52,379,9,0,192,14,10,90,1,4,5,0,0,0,49,0,20,2,18,8,5,2,1,0,1,0
Ander_Herrera,714,1,2,41,640,6,0,200,13,11,90,5,2,20,0,0,0,55,0,20,2,13,12,5,2,0,0,2,2
Bojan_Krkic,401,3,2,54,298,10,0,196,10,14,0,3,5,18,0,0,0,59,0,20,1,16,6,8,0,2,1,,4
