name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,41,0,0,8,33,1,454,1,170,0,9826,0,90,0,7,0,0,0,8,0,17,0,1,0,0,0,1,3422,0
Aaron_Lennon,10,0,0,2,8,1,142,0,163,0,9514,0,90,0,9,0,0,0,5,0,17,0,0,2,0,1,0,213,0
Aaron_Ramsey,0,0,0,0,0,0,16,0,164,0,9388,0,0,0,10,0,0,0,0,0,17,0,0,0,0,1,2,22,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,612,0,162,0,9984,0,0,0,4,0,0,0,0,0,17,0,0,0,0,1,0,11,0
Abdoulaye_Doucouré,0,0,0,0,0,0,482,0,167,0,9854,0,0,0,15,0,0,0,0,0,17,0,0,0,0,0,1,1,0
Abdul Rahman_Baba,0,0,0,0,0,0,80,0,162,0,9452,0,0,0,5,0,0,0,0,0,17,0,0,0,0,1,0,16,0
Abel_Hernández,0,0,0,0,0,0,163,0,170,0,9535,0,0,0,20,0,0,0,0,0,17,0,0,0,0,0,1,32,0
Adama_Diomande,6,0,0,0,4,0,164,0,170,0,9536,0,21,1,20,0,0,0,0,0,17,0,0,1,0,0,1,20385,0
Adama_Traoré,1,0,0,0,0,0,563,0,165,1,9935,0,4,0,16,0,0,0,1,0,17,0,1,0,0,0,3,1608,0
Adam_Clayton,34,0,0,4,27,0,283,0,165,0,9655,1,90,0,16,0,0,0,3,0,17,0,0,1,0,0,3,490,0
Adam_Federici,0,0,0,0,0,0,30,0,161,0,9402,0,0,0,13,0,0,0,0,0,17,0,0,0,0,3,1,35,0
Adam_Forshaw,36,0,0,3,36,1,286,0,165,1,9658,2,90,0,16,0,0,0,10,0,17,0,2,3,2,0,3,1408,0
Adam_Lallana,56,0,0,2,49,1,205,0,163,0,9577,0,81,1,6,0,0,0,5,0,17,0,1,0,0,1,0,290250,0
Adam_Matthews,0,0,0,0,0,0,345,0,167,0,9717,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,1,10,0
Adam_Reach,0,0,0,0,0,0,285,0,165,0,9657,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,3,2,0
Adam_Smith,30,0,0,4,25,1,34,0,161,2,9406,1,90,0,13,0,0,0,8,0,17,0,3,0,1,3,1,9950,0
Adlène_Guédioura,0,0,0,0,0,0,415,0,167,0,9787,0,0,0,15,0,0,0,0,0,17,0,0,0,0,0,1,240,0
Adnan_Januzaj,21,0,0,1,15,3,261,0,167,1,9633,1,79,0,18,0,0,0,3,0,17,0,6,0,0,0,1,526,1
Adrian_Mariappa,0,0,0,0,0,0,556,0,167,0,9928,0,0,0,15,0,0,0,0,0,17,0,0,0,0,0,1,38,0
Adrián_San Miguel del Castillo,0,0,0,0,0,0,450,0,170,0,9822,0,0,0,7,0,0,0,0,0,17,0,0,0,0,0,1,628,0
Ahmed_Elmohamady,27,0,0,3,15,0,158,0,170,0,9530,0,90,0,20,0,0,0,4,0,17,0,0,1,0,0,1,62,0
Ahmed_Musa,5,0,0,0,4,0,187,0,166,0,9559,0,11,0,14,0,0,0,2,0,17,0,0,0,1,2,2,371,0
Aiden_O'Neill,0,0,0,0,0,0,531,0,168,0,9903,0,0,0,17,0,0,0,0,0,17,0,0,0,0,1,2,36,0
Ainsley_Maitland-Niles,0,0,0,0,0,0,593,0,164,0,9965,0,0,0,10,0,0,0,0,0,17,0,0,0,0,1,2,3,0
Alberto_Moreno,0,0,0,0,0,0,192,0,163,0,9564,0,0,0,6,0,0,0,0,0,17,0,0,0,0,1,0,131,0
Albert_Adomah,0,0,0,0,0,0,281,0,165,0,9653,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,3,17,0
Aleix_García Serrano,0,0,0,0,0,0,578,0,164,0,9950,0,0,0,1,0,0,0,0,0,17,0,0,0,0,1,2,10,0
