name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,5,0,0,0,1,0,454,0,340,0,20360,0,12,0,6,0,0,0,0,0,34,0,0,0,0,0,0,94,0
Aaron_Lennon,0,0,0,0,0,0,142,0,340,0,20018,0,0,0,20,0,0,0,0,0,34,0,0,0,0,0,0,14,0
Aaron_Ramsey,14,0,0,0,13,0,16,0,271,0,19870,1,16,0,8,0,0,0,1,0,34,0,0,0,0,0,1,207,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,612,0,337,0,20534,0,0,0,9,0,0,0,0,0,34,0,0,0,0,2,1,5,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,612,0,274,0,20533,0,0,0,17,0,0,0,0,0,34,0,0,0,0,1,0,5,0
Abdoulaye_Doucouré,50,0,0,2,46,0,482,0,335,0,20390,0,72,0,7,0,0,0,4,0,34,0,1,1,0,0,2,29,0
Abdul Rahman_Baba,0,0,0,0,0,0,80,0,334,0,19934,0,0,0,13,0,0,0,0,0,34,0,0,0,0,2,4,7,0
Abel_Hernández,11,0,0,1,10,1,163,0,335,2,20038,0,45,0,18,0,0,0,2,0,34,0,1,0,0,0,2,3293,0
Adama_Diomande,0,0,0,0,0,0,164,0,335,0,20039,0,0,0,18,0,0,0,0,0,34,0,0,0,0,0,2,825,0
Adama_Traoré,0,0,0,0,0,0,563,0,332,0,20479,0,0,0,2,0,0,0,0,0,34,0,0,0,0,0,4,1507,0
Adama_Traoré,0,0,0,0,0,0,563,0,278,0,20478,0,0,0,15,0,0,0,0,0,34,0,0,0,0,0,1,1507,0
Adam_Clayton,24,0,0,3,20,0,283,0,332,0,20200,1,90,0,2,0,0,0,3,0,34,0,3,2,0,0,4,1999,0
Adam_Clayton,47,1,0,6,39,1,283,0,278,1,20199,1,90,0,15,0,0,0,3,0,34,0,2,1,0,0,1,1999,1
Adam_Federici,0,0,0,0,0,0,30,0,332,0,19884,0,0,0,12,0,0,0,0,0,34,0,0,0,0,0,4,21,0
Adam_Forshaw,31,0,0,0,28,2,286,0,332,1,20206,0,68,0,2,0,0,0,6,0,34,0,1,1,0,0,4,605,0
Adam_Forshaw,37,0,0,2,30,1,286,0,278,3,20205,1,90,0,15,0,0,0,8,0,34,0,3,0,0,0,1,605,0
Adam_Lallana,0,0,0,0,0,0,205,0,337,0,20082,0,0,0,5,0,0,0,0,0,34,0,0,0,0,2,1,408,0
Adam_Matthews,0,0,0,0,0,0,345,0,278,0,20272,0,0,0,12,0,0,0,0,0,34,0,0,0,0,0,1,4,0
Adam_Reach,0,0,0,0,0,0,285,0,332,0,20204,0,0,0,2,0,0,0,0,0,34,0,0,0,0,0,4,4,0
Adam_Reach,0,0,0,0,0,0,285,0,278,0,20203,0,0,0,15,0,0,0,0,0,34,0,0,0,0,0,1,4,0
Adam_Smith,64,0,0,0,62,0,34,0,332,1,19888,0,90,1,12,0,0,0,4,0,34,0,0,2,0,0,4,3944,0
Ademola_Lookman,18,0,0,0,14,1,627,0,340,1,20548,0,45,1,20,0,0,0,5,0,34,0,4,0,2,0,0,14,0
Adlène_Guédioura,0,0,0,0,0,0,415,0,332,0,20341,0,0,0,2,0,0,0,0,0,34,0,0,0,0,0,4,29,0
Adlène_Guédioura,0,0,0,0,0,0,415,0,278,0,20340,0,0,0,15,0,0,0,0,0,34,0,0,0,0,0,1,29,0
Adnan_Januzaj,4,0,0,1,2,0,261,0,278,1,20157,0,14,0,12,0,0,0,1,0,34,0,1,1,0,0,1,28,0
