name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell_402,493,0,0,30,399,13,402,0,20,14,26635,10,0,0,2,0,0,0,58,0,2,3,11,2,3,2,1,126007,6
Aaron_Lennon_83,459,1,0,33,348,5,83,1,12,8,16703,5,90,2,18,0,0,0,74,0,2,3,18,8,3,3,1,177894,1
Aaron_Mooy_199,222,1,0,44,144,5,199,0,18,4,20766,3,0,1,13,0,0,0,51,0,2,9,5,2,2,1,6,69487,2
Aaron_Ramsey_14,427,4,3,41,352,5,14,2,14,9,13768,13,22,3,6,0,0,0,59,0,2,8,15,2,6,2,3,122293,2
Aaron_Wan-Bissaka_145,362,0,0,41,285,16,145,0,15,6,20561,5,74,2,12,1,0,0,51,1,2,4,22,5,5,2,0,572628,1
Abdoulaye_Doucouré_390,346,3,3,42,238,4,390,0,12,19,26787,8,90,4,4,0,0,0,70,0,2,2,18,4,0,3,1,444614,2
Aboubakar_Kamara_189,434,3,2,52,355,12,189,3,19,5,21523,9,87,3,17,0,0,0,55,0,2,8,12,6,5,1,3,79563,0
Adama_Traoré_500,499,0,1,25,405,11,500,0,17,8,25234,8,45,1,11,0,0,0,64,0,2,1,24,4,7,0,2,575538,1
Adam_Lallana_250,626,4,3,27,560,16,250,1,15,13,19973,14,3,2,7,0,0,0,59,0,2,2,15,11,4,2,0,929742,1
Adam_Smith_29,322,3,2,41,248,15,29,0,20,10,14339,12,90,0,19,1,0,0,49,0,2,4,20,8,3,2,1,316787,2
Ademola_Lookman_170,424,3,1,38,314,8,170,1,16,8,24635,12,0,2,16,0,0,0,67,0,2,3,13,7,3,1,2,457485,0
Adrien Sebastian_Perruchet Silva_231,384,0,0,47,318,22,231,1,17,10,22357,4,8,0,20,0,0,0,64,1,2,2,20,12,2,0,2,251772,2
Alexis_Sánchez_295,570,0,0,21,483,10,295,0,11,13,22526,4,0,2,3,1,0,0,54,0,2,0,28,2,4,2,3,750076,1
Alex_McCarthy_328,300,1,1,39,185,5,328,0,16,20,23624,10,90,3,8,0,0,0,68,0,2,5,16,6,6,1,2,120461,5
Alex_Smithies_89,314,2,2,58,202,9,89,0,13,14,16931,9,0,2,15,1,0,1,62,0,2,6,11,6,6,0,0,50314,2
Alireza_Jahanbakhsh_476,281,1,0,28,181,5,476,1,11,16,17283,4,0,2,14,1,0,0,58,0,2,1,13,4,3,2,3,27173,1
Andreas_Christensen_119,719,1,0,22,642,11,119,0,14,12,19592,19,0,3,1,0,0,0,54,0,2,4,14,5,7,2,3,646885,0
Aymeric_Laporte_268,759,4,4,30,707,19,268,0,18,9,18249,22,90,1,10,0,0,0,55,0,2,0,16,3,9,1,6,1206339,0
Ayoze_Pérez_326,305,1,2,40,182,4,326,1,13,16,22744,5,64,0,5,0,1,0,58,1,2,0,21,6,1,0,0,135114,2
Bamidele_Alli_365,632,3,4,22,557,6,365,0,19,9,21573,12,90,1,9,0,0,0,52,0,2,2,13,4,10,1,3,414363,
